"cat","mean_priceperunit_eur","median_priceperunit_eur","IQR_priceperunit","IQR_lower","IQR_upper","CI_lower","CI_upper","n_households","unit_lit"
"bier",0.566877215845755,0.49770564516129,0.2635525,0.3828,0.6463525,0.557131913528329,0.576622518163182,6690,0.33
"sekt",0.758896379043759,0.625,0.366666666666667,0.465,0.831666666666667,0.730723028306449,0.787069729781068,2131,0.125
"spirituosen",0.598705340531506,0.496571428571429,0.354219047619048,0.319466666666667,0.673685714285714,0.582186241287017,0.615224439775995,3502,0.04
"wein",0.661664002454769,0.53625,0.427848214285714,0.3739375,0.801785714285714,0.648773868100851,0.674554136808687,5296,0.125
