"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n_haushalte"
"32","risikoarm","mittel","18-34","Female","wein",0.635112283744097,0.571211227015948,0.699013340472247,237
"33","risikoarm","mittel","18-34","Female","sprit",0.58870045064845,0.492308679301402,0.685092221995497,89
"34","risikoarm","mittel","35-59","Male","bier",0.548343032013072,0.513780878092496,0.582905185933647,429
"35","risikoarm","mittel","35-59","Male","wein",0.630934039611358,0.57732788527604,0.684540193946676,369
"36","risikoarm","mittel","35-59","Male","sprit",0.574332199777955,0.49404714701535,0.654617252540561,194
"37","risikoarm","mittel","35-59","Female","bier",0.586287368988029,0.553310667593361,0.619264070382698,490
"38","risikoarm","mittel","35-59","Female","wein",0.630058310873365,0.586582829850237,0.673533791896494,499
"39","risikoarm","mittel","35-59","Female","sprit",0.578530072917472,0.508853240714392,0.648206905120552,233
"40","risikoarm","mittel","60+","Male","bier",0.474835262936301,0.452335223302608,0.497335302569993,417
"41","risikoarm","mittel","60+","Male","wein",0.651653758391914,0.592081220833969,0.711226295949858,405
"42","risikoarm","mittel","60+","Male","sprit",0.483093210003854,0.441102719181953,0.525083700825755,238
"43","risikoarm","mittel","60+","Female","bier",0.481938078304786,0.456262835232133,0.507613321377439,444
"44","risikoarm","mittel","60+","Female","wein",0.647035558893829,0.59826012438346,0.695810993404198,517
"45","risikoarm","mittel","60+","Female","sprit",0.448554986891314,0.417512732460038,0.47959724132259,276
"46","risikoarm","hoch","18-34","Male","bier",0.66627350060189,0.621561357807293,0.710985643396486,370
"47","risikoarm","hoch","18-34","Male","wein",0.720991832988927,0.656438498667736,0.785545167310118,342
"48","risikoarm","hoch","18-34","Male","sprit",0.657830106728091,0.587221120701791,0.728439092754391,178
"49","risikoarm","hoch","18-34","Female","bier",0.664631467958709,0.620306261274274,0.708956674643144,365
"50","risikoarm","hoch","18-34","Female","wein",0.717366822906361,0.65040094736442,0.784332698448303,328
"51","risikoarm","hoch","18-34","Female","sprit",0.66412006155882,0.58948994818302,0.738750174934621,156
